262 91 91
15 20 -1 1
16 20 -1 1
17 20 -1 1
18 20 -1 1
19 20 -1 1
20 20 -1 1
14 21 -1 1
15 21 -1 1
20 21 -1 1
21 21 -1 1
26 21 -1 1
27 21 -1 1
28 21 -1 1
29 21 -1 1
30 21 -1 1
31 21 -1 1
39 21 -1 1
40 21 -1 1
14 22 -1 1
21 22 -1 1
27 22 -1 1
32 22 -1 1
39 22 -1 1
41 22 -1 1
13 23 -1 1
14 23 -1 1
27 23 -1 1
32 23 -1 1
39 23 -1 1
41 23 -1 1
42 23 -1 1
13 24 -1 1
14 24 -1 1
27 24 -1 1
32 24 -1 1
39 24 -1 1
42 24 -1 1
43 24 -1 1
14 25 -1 1
27 25 -1 1
32 25 -1 1
39 25 -1 1
43 25 -1 1
59 25 -1 1
60 25 -1 1
61 25 -1 1
14 26 -1 1
15 26 -1 1
27 26 -1 1
32 26 -1 1
39 26 -1 1
43 26 -1 1
44 26 -1 1
57 26 -1 1
58 26 -1 1
61 26 -1 1
62 26 -1 1
63 26 -1 1
15 27 -1 1
27 27 -1 1
28 27 -1 1
29 27 -1 1
30 27 -1 1
31 27 -1 1
32 27 -1 1
38 27 -1 1
39 27 -1 1
44 27 -1 1
57 27 -1 1
63 27 -1 1
69 27 -1 1
70 27 -1 1
15 28 -1 1
27 28 -1 1
31 28 -1 1
32 28 -1 1
33 28 -1 1
38 28 -1 1
44 28 -1 1
64 28 -1 1
68 28 -1 1
69 28 -1 1
15 29 -1 1
27 29 -1 1
33 29 -1 1
34 29 -1 1
38 29 -1 1
44 29 -1 1
64 29 -1 1
68 29 -1 1
77 29 -1 1
78 29 -1 1
79 29 -1 1
80 29 -1 1
81 29 -1 1
82 29 -1 1
83 29 -1 1
84 29 -1 1
16 30 -1 1
22 30 -1 1
27 30 -1 1
34 30 -1 1
35 30 -1 1
38 30 -1 1
44 30 -1 1
64 30 -1 1
68 30 -1 1
76 30 -1 1
77 30 -1 1
84 30 -1 1
89 30 -1 1
16 31 -1 1
17 31 -1 1
22 31 -1 1
27 31 -1 1
35 31 -1 1
36 31 -1 1
38 31 -1 1
44 31 -1 1
45 31 -1 1
64 31 -1 1
67 31 -1 1
68 31 -1 1
76 31 -1 1
84 31 -1 1
87 31 -1 1
88 31 -1 1
89 31 -1 1
18 32 -1 1
19 32 -1 1
20 32 -1 1
21 32 -1 1
22 32 -1 1
27 32 -1 1
36 32 -1 1
38 32 -1 1
45 32 -1 1
64 32 -1 1
67 32 -1 1
76 32 -1 1
83 32 -1 1
84 32 -1 1
89 32 -1 1
27 33 -1 1
35 33 -1 1
38 33 -1 1
39 33 -1 1
40 33 -1 1
41 33 -1 1
42 33 -1 1
43 33 -1 1
44 33 -1 1
45 33 -1 1
63 33 -1 1
64 33 -1 1
67 33 -1 1
76 33 -1 1
83 33 -1 1
84 33 -1 1
89 33 -1 1
27 34 -1 1
28 34 -1 1
34 34 -1 1
35 34 -1 1
38 34 -1 1
39 34 -1 1
45 34 -1 1
63 34 -1 1
67 34 -1 1
68 34 -1 1
69 34 -1 1
70 34 -1 1
71 34 -1 1
72 34 -1 1
76 34 -1 1
77 34 -1 1
78 34 -1 1
83 34 -1 1
84 34 -1 1
89 34 -1 1
26 35 -1 1
27 35 -1 1
30 35 -1 1
31 35 -1 1
32 35 -1 1
33 35 -1 1
34 35 -1 1
39 35 -1 1
45 35 -1 1
46 35 -1 1
62 35 -1 1
63 35 -1 1
67 35 -1 1
72 35 -1 1
73 35 -1 1
78 35 -1 1
79 35 -1 1
80 35 -1 1
81 35 -1 1
82 35 -1 1
83 35 -1 1
89 35 -1 1
27 36 -1 1
28 36 -1 1
29 36 -1 1
30 36 -1 1
39 36 -1 1
46 36 -1 1
60 36 -1 1
61 36 -1 1
66 36 -1 1
67 36 -1 1
73 36 -1 1
82 36 -1 1
89 36 -1 1
46 37 -1 1
47 37 -1 1
59 37 -1 1
60 37 -1 1
67 37 -1 1
73 37 -1 1
74 37 -1 1
82 37 -1 1
89 37 -1 1
47 38 -1 1
59 38 -1 1
60 38 -1 1
61 38 -1 1
62 38 -1 1
63 38 -1 1
64 38 -1 1
67 38 -1 1
74 38 -1 1
81 38 -1 1
82 38 -1 1
89 38 -1 1
67 39 -1 1
74 39 -1 1
81 39 -1 1
89 39 -1 1
67 40 -1 1
68 40 -1 1
74 40 -1 1
80 40 -1 1
81 40 -1 1
89 40 -1 1
68 41 -1 1
69 41 -1 1
70 41 -1 1
74 41 -1 1
80 41 -1 1
89 41 -1 1
70 42 -1 1
71 42 -1 1
72 42 -1 1
73 42 -1 1
74 42 -1 1
80 42 -1 1
89 42 -1 1
89 43 -1 1
89 44 -1 1
89 45 -1 1
