2529 352 240
200 128 -1 1
201 128 -1 1
202 128 -1 1
203 128 -1 1
204 128 -1 1
205 128 -1 1
206 128 -1 1
194 129 -1 1
195 129 -1 1
196 129 -1 1
197 129 -1 1
198 129 -1 1
199 129 -1 1
200 129 -1 1
201 129 -1 1
202 129 -1 1
203 129 -1 1
204 129 -1 1
205 129 -1 1
206 129 -1 1
207 129 -1 1
208 129 -1 1
209 129 -1 1
210 129 -1 1
211 129 -1 1
193 130 -1 1
194 130 -1 1
195 130 -1 1
196 130 -1 1
197 130 -1 1
198 130 -1 1
199 130 -1 1
200 130 -1 1
201 130 -1 1
202 130 -1 1
203 130 -1 1
204 130 -1 1
205 130 -1 1
206 130 -1 1
207 130 -1 1
208 130 -1 1
209 130 -1 1
210 130 -1 1
211 130 -1 1
212 130 -1 1
213 130 -1 1
214 130 -1 1
215 130 -1 1
192 131 -1 1
193 131 -1 1
194 131 -1 1
195 131 -1 1
196 131 -1 1
197 131 -1 1
198 131 -1 1
199 131 -1 1
200 131 -1 1
201 131 -1 1
202 131 -1 1
203 131 -1 1
204 131 -1 1
205 131 -1 1
206 131 -1 1
207 131 -1 1
208 131 -1 1
209 131 -1 1
210 131 -1 1
211 131 -1 1
212 131 -1 1
213 131 -1 1
214 131 -1 1
215 131 -1 1
216 131 -1 1
217 131 -1 1
218 131 -1 1
219 131 -1 1
220 131 -1 1
221 131 -1 1
222 131 -1 1
223 131 -1 1
224 131 -1 1
225 131 -1 1
226 131 -1 1
191 132 -1 1
192 132 -1 1
193 132 -1 1
194 132 -1 1
195 132 -1 1
196 132 -1 1
197 132 -1 1
198 132 -1 1
199 132 -1 1
200 132 -1 1
201 132 -1 1
202 132 -1 1
203 132 -1 1
204 132 -1 1
205 132 -1 1
206 132 -1 1
207 132 -1 1
208 132 -1 1
209 132 -1 1
210 132 -1 1
211 132 -1 1
212 132 -1 1
213 132 -1 1
214 132 -1 1
215 132 -1 1
216 132 -1 1
217 132 -1 1
218 132 -1 1
219 132 -1 1
220 132 -1 1
221 132 -1 1
222 132 -1 1
223 132 -1 1
224 132 -1 1
225 132 -1 1
226 132 -1 1
227 132 -1 1
228 132 -1 1
191 133 -1 1
192 133 -1 1
193 133 -1 1
194 133 -1 1
195 133 -1 1
196 133 -1 1
197 133 -1 1
198 133 -1 1
199 133 -1 1
200 133 -1 1
201 133 -1 1
202 133 -1 1
203 133 -1 1
204 133 -1 1
205 133 -1 1
206 133 -1 1
207 133 -1 1
208 133 -1 1
209 133 -1 1
210 133 -1 1
211 133 -1 1
212 133 -1 1
213 133 -1 1
214 133 -1 1
215 133 -1 1
216 133 -1 1
217 133 -1 1
218 133 -1 1
219 133 -1 1
220 133 -1 1
221 133 -1 1
222 133 -1 1
223 133 -1 1
224 133 -1 1
225 133 -1 1
226 133 -1 1
227 133 -1 1
228 133 -1 1
229 133 -1 1
230 133 -1 1
231 133 -1 1
232 133 -1 1
233 133 -1 1
234 133 -1 1
235 133 -1 1
236 133 -1 1
237 133 -1 1
238 133 -1 1
239 133 -1 1
240 133 -1 1
241 133 -1 1
242 133 -1 1
243 133 -1 1
244 133 -1 1
245 133 -1 1
191 134 -1 1
192 134 -1 1
193 134 -1 1
194 134 -1 1
195 134 -1 1
196 134 -1 1
197 134 -1 1
198 134 -1 1
199 134 -1 1
200 134 -1 1
201 134 -1 1
202 134 -1 1
203 134 -1 1
204 134 -1 1
205 134 -1 1
206 134 -1 1
207 134 -1 1
208 134 -1 1
209 134 -1 1
210 134 -1 1
211 134 -1 1
212 134 -1 1
213 134 -1 1
214 134 -1 1
215 134 -1 1
216 134 -1 1
217 134 -1 1
218 134 -1 1
219 134 -1 1
220 134 -1 1
221 134 -1 1
222 134 -1 1
223 134 -1 1
224 134 -1 1
225 134 -1 1
226 134 -1 1
227 134 -1 1
228 134 -1 1
229 134 -1 1
230 134 -1 1
231 134 -1 1
232 134 -1 1
233 134 -1 1
234 134 -1 1
235 134 -1 1
236 134 -1 1
237 134 -1 1
238 134 -1 1
239 134 -1 1
240 134 -1 1
241 134 -1 1
